Henry Twynam,1879,Halfback,8,7,0,1,4,NA,Hants,Canada,Nova Scotia,Hants County,Missing,February 14,1853,England
Sidney Ellis,1880,Forward,1,1,0,0,1,NA,Lewisham,United Kingdom,England,Greater London,London,March 13,1859,England
Thomas Fry,1880,Fullback,3,3,0,0,1,NA,Greenwich,United Kingdom,England,East of England,Suffolk,September 15,1858,England
Charles Gurdon,1880,Forward,14,10,1,3,0,NA,Norfolk,United Kingdom,England,East of England,Norfolk,December 3,1855,England
Robert Hunt,1880,Three-quarters,4,2,0,2,2,NA,Preston,United Kingdom,England,North West England,Lancashire,January 21,1856,England
Barron Kilner,1880,Forward,1,1,0,0,0,NA,Thornhill Leer,g,n,i,s,October 11,1852,England
Ellis Markendale,1880,Forward,1,1,0,0,1,NA,Salford,United Kingdom,England,North West England,Greater Manchester,November 11,1856,England
John Schofield,1880,Forward,1,1,0,0,0,NA,Stretford,United Kingdom,England,North West England,Greater Manchester,March 10,1858,England
Ernie Woodhead,1880,Forward,1,1,0,0,0,NA,Huddersfield,United Kingdom,England,Yorkshire and the Humber,Huddersfield,February 2,1857,England
Charles Coates,1880,Forward,3,1,1,1,0,NA,Lambeth,United Kingdom,England,Greater London,London,May 4,1857,England
Richard Finch,1880,Halfback,1,1,0,0,0,NA,Kensington,United Kingdom,England,Greater London,London,(guess: regd Q3),Kensington,England
Charles Phillips,1880,Forward,3,2,0,1,0,NA,?,g,n,i,s,August 14,1857,England
Charles Sawyer,1880,Three-quarters,2,2,0,0,1,NA,Manchester,United Kingdom,England,North West England,Greater Manchester,March 20,1856,England
Charles Fernandes,1881,Forward,3,2,0,1,1,NA,Wakefield,United Kingdom,England,Yorkshire and the Humber,Wakefield,April 3,1857,England
Walter Hewitt,1881,Forward,4,2,0,2,0,NA,Kent,United Kingdom,England,South East,Kent,(guess: regd Q4),Deptford,England
John Ravenscroft,1881,Forward,1,1,0,0,0,NA,Wirral,Canada,New Brunswick,Queens County,Wirral,June 11,1856,England
Ryder Richardson,1881,Halfback,1,1,0,0,0,NA,Chorlton,United Kingdom,England,North West England,Cheshire East,September 13,1861,England
James Ward,1881,Forward,2,1,0,1,0,NA,Staines,United Kingdom,England,South East,Surrey,April 24,1858,England
Harry Vassall,1881,Forward,5,2,1,2,3,NA,Tadcaster,United Kingdom,LS24,England,Yorkshire and the Humber,October 22,1860,England
Charles Wilson,1881,Forward,1,1,0,0,0,NA,Norfolk,United Kingdom,England,East of England,Norfolk,May 12,1859,England
Frank Wright,1881,Halfback,1,0,0,1,0,NA,Leigh,United Kingdom,TN11 8RU,England,South East,July 2,1862,England
Teddy Beswick,1882,Three-quarters,2,0,1,1,0,NA,Penrith,Australia,New South Wales,Penrith,Missing,(guess: regd Q3),Penrith,England
Wilfred Bolton,1882,Three-quarters,11,7,2,2,6,NA,Sx,Sint Maarten,Missing,Missing,Missing,September 14,1862,England
Herbert Fuller,1882,Forward,6,4,1,1,0,NA,Bath,United Kingdom,BA1,England,South West England,October 4,1856,England
