"player","team","debut","tests","win","loss","draw","points","tries","birthplace","country","month","birthyear"
"Horace Duckett","England",1893,2,1,1,0,0,0,"Bradford","ENG","October 11","1867"
"Thomas Nicholson","England",1893,1,1,0,0,0,0,"","","date unknown",""
"Frederic Jones","England",1893,1,0,1,0,0,0,"Birkenhead","ENG","(guess: regd Q2)","Birkenhead"
"John Robinson","England",1893,4,2,2,0,1,3,"Burton-on-Trent","ENG","June 28","1872"
"Buster Soane","England",1893,4,1,3,0,0,0,"Bath","ENG","September 12","1865"
"Cyril Wells","England",1893,6,2,4,0,0,0,"London","ENG","March 21","1871"
"Fred Byrne","England",1894,17,7,9,1,0,36,"Birmingham","ENG","June 19","1871"
"Frederick Firth","England",1894,3,1,2,0,0,0,"Yorks","ENG","circa 1870","Cleckheaton"
"John Hall","England",1894,3,1,2,0,0,0,"","","date unknown",""
"Charles Hooper","England",1894,3,1,2,0,0,0,"Glos","FR","June 6","1869"
"Samuel Morfitt","England",1894,6,2,4,0,3,9,"Kingston-upon-Hull","ENG","(guess: regd Q1)","Kingston-upon-Hull"
"Harry Speed","England",1894,4,1,3,0,0,0,"Castleford","ENG","August 19","1871"
"William Tucker","England",1894,5,3,2,0,0,0,"","","August 17","1872"
"Bob Wood","England",1894,1,0,1,0,0,0,"Pontefract","ENG","November 14","1872"
"Albert Elliott","England",1894,1,0,1,0,0,0,"Sthampton","","March 5","1869"
"Walter Jackson","England",1894,1,0,1,0,0,0,"Gloucester","ENG","March 16","1870"
"William Walton","England",1894,1,0,1,0,0,0,"","","September 23","1874"
"Edward Baker","England",1895,7,3,4,0,0,0,"United States","USA","August 12","1874"
"Godfrey Carey","England",1895,5,3,2,0,1,3,"Guernsey","Guernsey","August 17","1872"
"Dick Cattell","England",1895,7,3,4,0,2,6,"Erdington","ENG","March 23","1871"
"John Fegan","England",1895,3,2,1,0,1,3,"Kent","ENG","January 20","1872"
"Horace Finlinson","England",1895,3,2,1,0,0,0,"Bedford","ENG","June 9","1871"
"Frederick Leslie-Jones","England",1895,2,2,0,0,1,3,"Fylde","ENG","July 9","1874"
"Frank Mitchell","England",1895,6,3,3,0,1,5,"Market Weighton","ENG","August 13","1872"
"Francis Poole","England",1895,3,2,1,0,0,0,"Houghton","ENG","December 17","1870"
"Charles Thomas","England",1895,4,2,2,0,1,3,"Barnstaple","ENG","circa 1874","Barnstaple"
"Herbert Ward","England",1895,1,1,0,0,0,0,"Bradford","ENG","circa 1873","Bradford"
"Thomas Dobson","England",1895,1,0,1,0,0,0,"Bradford","ENG","February 1872","Bradford"
"Ernest Fookes","England",1896,10,3,7,0,5,15,"Waverley","SCO","May 31","1874"
"Lyndhurst Giblin","England",1896,3,2,1,0,0,0,"Tasmania","AUS","November 29","1872"
