John le Fleming,1887,Three-quarters,Tonbridge,1,0,0,United Kingdom,England,South East
Dicky Lockwood,1887,Three-quarters,Crigglestone,14,8,5,28,United Kingdom,England,Yorkshire and the Humber
Sam Roberts,1887,Fullback,date unknown,2,0,0,g,n,i
Bob Seddon,1887,Forward,Lancashire,3,0,0,United Kingdom,England,North West England
Arthur Fagan,1887,Three-quarters,Calcutta,1,0,0,India,West Bengal,Kolkata
Frank Pease,1887,Forward,Darlington,1,0,0,United States of America,South Carolina,Darlington County
Mason Scott,1887,Halfback,Newcastle-upon-Tyne,3,2,0,0,United Kingdom,England,North East England
Charles Anderton,1889,Forward,Machester,1,1,0,0,United States of America,29575,South Carolina
Harry Bedford,1889,Forward,Leeds,3,3,2,2,United Kingdom,England,Yorkshire and the Humber
John Cave,1889,Forward,Surbiton,1,1,0,0,United Kingdom,England,Greater London
Frank Evershed,1889,Forward,Staffs,10,7,4,7,Kenya,00200,Nairobi
Donald Jowett,1889,Forward,Bradford,6,5,0,2,United Kingdom,England,Yorkshire and the Humber
Frederick Lowrie,1889,Forward,Wakefield,2,1,0,0,United Kingdom,England,Yorkshire and the Humber
Arthur Robinson,1889,Forward,Darlington,4,3,0,0,United States of America,South Carolina,Darlington County
Artie Royle,1889,Fullback,date unknown,1,1,0,0,g,n,i
William Scott,1889,Halfback,Gateshead,1,1,0,0,United Kingdom,England,North East England
John Sutcliffe,1889,Three-quarters,nr Halifax,1,1,1,3,Deutschland,77836,Baden-Württemberg
Harry Wilkinson,1889,Forward,Halifax,1,1,0,0,Canada,Nova Scotia,Halifax County
William Yiend,1889,Forward,Winchcome,6,5,0,0,g,n,i
Richard Budworth,1890,Forward,Essex,3,1,1,1,United Kingdom,England,East of England
Francis Fox,1890,Halfback,Wellington,2,1,0,0,New Zealand/Aotearoa,Wellington,Wellington City
Willie Mitchell,1890,Fullback,Quebec,10,7,0,3,Canada,Québec,Missing
Dolly Morrison,1890,Three-quarters,Guisborough,4,3,1,1,United Kingdom,England,North East England
John Rogers,1890,Forward,Aston,4,2,1,1,France,09310,France métropolitaine
Jim Valentine,1890,Centre,Salford,4,1,0,2,United Kingdom,England,North West England
Samuel Woods,1890,Forward,NSW,13,9,1,6,Australia,New South Wales,Missing
James Wright,1890,Halfback,Yorks,1,0,0,0,Deutschland,10965,Berlin
Randolph Aston,1890,Centre,Kensington,5,5,2,2,United Kingdom,England,Greater London
Jack Dyson,1890,Three-quarters,Skelmanthorpe,4,3,1,2,United Kingdom,England,Yorkshire and the Humber
Edgar Holmes,1890,Forward,Bradford,2,2,0,0,United Kingdom,England,Yorkshire and the Humber
Jack Toothill,1890,Forward,Bradford,12,9,1,1,United Kingdom,England,Yorkshire and the Humber
William Spence,1890,Halfback,Cheshire,1,1,0,0,United States of America,Connecticut,New Haven County
Frederick Alderson,1891,Three-quarters,Nthumberlnd,6,4,1,11,g,n,i
John Berry,1891,Halfback,Fellside,3,2,0,0,United Kingdom,England,North East England
William Bromet,1891,Forward,Tadcaster,15,11,1,2,United Kingdom,LS24,England
Percy Christopherson,1891,Three-quarters,Blackheath,2,1,2,2,United Kingdom,England,Greater London
Tom Kent,1891,Forward,Nottingham,6,5,0,0,United Kingdom,England,East Midlands
William Leake,1891,Halfback,Ceylon,3,2,0,0,United States of America,penna,Greene County
Eustace North,1891,Forward,Lewisham,3,2,0,0,United Kingdom,England,Greater London
James Richards,1891,Forward,Warks,3,2,0,0,United Kingdom,England,North East England
Roger Wilson,1891,Forward,W Derby,3,2,2,2,United Kingdom,England,North West England
Launcelot Percival,1891,Forward,Clifton,3,2,1,2,United Kingdom,England,South West England
Edgar Bonham-Carter,1891,Forward,Kensington,1,0,0,0,United Kingdom,England,Greater London
Alfred Allport,1892,Forward,Brixton,5,3,0,0,United Kingdom,England,Greater London
Arthur Briggs,1892,Halfback,?,3,3,0,0,g,n,i
Edward Bullough,1892,Forward,Wigan,3,3,0,0,United Kingdom,England,North West England
Charles Emmott,1892,Halfback,Bradford,1,1,0,0,United Kingdom,England,Yorkshire and the Humber
Scatter Hubbard,1892,Three-quarters,Benares,2,2,1,2,Australia,Queensland,4949
William Nicholl,1892,Forward,Yorks?,2,2,1,2,Deutschland,10965,Berlin
James Pyke,1892,Forward,St Helens,1,1,0,0,United Kingdom,England,North West England
Wardlaw Thomson,1892,Centre,South Rhodesia,4,3,1,3,United States of America,Washington,Pacific County
Abel Ashworth,1892,Forward,Ashton,1,1,0,0,United Kingdom,OL6 7PW,England
Samuel Houghton,1892,Fullback,Runcorn,2,2,0,0,United Kingdom,England,North West England
James Marsh,1889,Three-quarters,?,3,3,0,0,g,n,i
Ernest Taylor,1892,Halfback,Newcastle-upon-Tyne,14,7,2,15,United Kingdom,England,North East England
Harry Bradshaw,1892,Forward,Leeds,7,3,2,5,United Kingdom,England,Yorkshire and the Humber
Thomas Coop,1892,Fullback,Lancs,1,1,0,0,United Kingdom,S6 3TB,England
Harry Varley,1892,Scrum-half,Yorks,1,1,0,0,Deutschland,10965,Berlin
Tom Broadley,1893,Forward,Bingley,6,1,0,0,United Kingdom,England,Yorkshire and the Humber
Robert de Winton,1893,Halfback,Hay,1,0,0,0,Nederland,Zuid-Holland,MRDH
Edwin Field,1893,Fullback,Hampstead,2,1,0,0,United Kingdom,England,Greater London
John Greenwell,1893,Forward,Tynemouth,2,1,0,0,United Kingdom,England,North East England
Frederick Lohden,1893,Forward,Hartlepool,1,0,1,2,United Kingdom,England,North East England
Howard Marshall,1891,Halfback,Sunderland,3,2,3,6,United Kingdom,England,North East England
Philip Maud,1893,Forward,Sudbury,2,1,0,0,Canada,Ontario,Sudbury
Horace Duckett,1893,Halfback,Bradford,2,1,0,0,United Kingdom,England,Yorkshire and the Humber
Thomas Nicholson,1893,Three-quarters,date unknown,1,1,0,0,g,n,i
Frederic Jones,1893,Three-quarters,Birkenhead,1,0,0,0,United Kingdom,England,North West England
John Robinson,1893,Forward,Burton-on-Trent,4,2,1,3,United Kingdom,England,West Midlands
Buster Soane,1893,Forward,Bath,4,1,0,0,United Kingdom,BA1,England
Cyril Wells,1893,Halfback,London,6,2,0,0,United Kingdom,England,Greater London
Fred Byrne,1894,Fullback,Birmingham,17,7,0,36,United Kingdom,England,West Midlands
Frederick Firth,1894,Wing,Yorks,3,1,0,0,Deutschland,10965,Berlin
John Hall,1894,Forward,date unknown,3,1,0,0,g,n,i
Charles Hooper,1894,Centre,Glos,3,1,0,0,France,14100,France métropolitaine
Samuel Morfitt,1894,Centre,Kingston-upon-Hull,6,2,3,9,United Kingdom,England,Yorkshire and the Humber
Harry Speed,1894,Forward,Castleford,4,1,0,0,United Kingdom,England,Yorkshire and the Humber
