Robert Stevenson,1887,Forward,14,3,9,2,0,0,Dungannon,United Kingdom,Northern Ireland,County Tyrone,Dungannon
Charles Tillie,1887,Three-quarters,4,2,2,0,1,NA,Londonderry,United Kingdom,Northern Ireland,County Londonderry,Londonderry
Dolway Walkington,1887,Fullback,8,2,5,1,0,3,Belfast,United Kingdom,Northern Ireland,County Antrim,Belfast
Edward Walshe,1887,Forward,7,2,5,0,2,4,?,g,n,i,s
Malcolm Moore,1887,Forward,3,1,2,0,0,NA,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
W. Davison,1887,Forward,1,0,1,0,0,NA,?,g,n,i,s
Patrick O'Connor,1887,Halfback,1,0,1,0,0,NA,?,g,n,i,s
Thomas Taggart,1887,Forward,1,0,1,0,0,NA,Bushmills,United Kingdom,Northern Ireland,County Antrim,Bushmills
William Ekin,1888,Forward,2,1,1,0,0,NA,Co.Tyrone,United Kingdom,Northern Ireland,County Tyrone,Missing
Robert Mayne,1888,Forward,2,1,1,0,0,NA,?,g,n,i,s
James Moffatt,1888,Forward,7,1,5,1,0,0,?,g,n,i,s
Ernest Stoker,1888,Forward,2,1,1,0,0,NA,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
William Morton,1888,Forward,1,0,1,0,0,NA,Tipperary,Republic of Ireland,Munster,County Tipperary,Tipperary
Alfred Walpole,1888,Three-quarters,2,0,2,0,0,NA,Roscommon,Republic of Ireland,Connacht,County Roscommon,Roscommon
Herbert Andrews,1888,Forward,3,1,2,0,0,NA,Co Down,United Kingdom,Northern Ireland,County Down,Missing
Michael Bulger,1888,Three-quarters,1,0,1,0,0,NA,Co Clare,Republic of Ireland,Munster,County Clare,Missing
Taffy Edwards,1888,Three-quarters,6,1,4,1,0,0,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
Edmund Forrest,1888,Forward,13,5,7,1,0,4,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
Joseph Jameson,1888,Forward,7,2,4,1,0,0,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
John Lytle,1888,Forward,8,4,4,0,1,5,Belfast,United Kingdom,Northern Ireland,County Antrim,Belfast
John O'Conor,1888,Forward,17,6,8,3,0,0,Letterkenny,Republic of Ireland,County Donegal,Letterkenny,Missing
James Stevenson,1888,Halfback,2,0,2,0,0,NA,Dungannon,United Kingdom,Northern Ireland,County Tyrone,Dungannon
David Woods,1888,Three-quarters,2,0,2,0,1,NA,?,g,n,i,s
Thomas Donovan,1889,Forward,1,0,1,0,0,NA,Cork,Republic of Ireland,Munster,County Cork,Cork
Luke Holmes,1889,Fullback,2,1,1,0,0,NA,Belfast,United Kingdom,Northern Ireland,County Antrim,Belfast
Llewellyn Nash,1889,Forward,6,0,5,1,0,0,Co.Cork,Republic of Ireland,Munster,County Cork,Missing
Thomas Pedlow,1889,Three-quarters,2,1,1,0,0,NA,?,g,n,i,s
Charles Stack,1889,Forward,1,0,1,0,0,NA,Lifford,Republic of Ireland,County Donegal,Lifford,Missing
Robert Yeates,1889,Three-quarters,2,1,1,0,0,NA,W Bengal,India,West Bengal,Missing,Missing
John Cotton,1889,Forward,1,1,0,0,1,NA,?,g,n,i,s
Robert Dunlop,1889,Three-quarters,11,2,8,1,1,1,?,g,n,i,s
Alaster McDonnell,1889,Halfback,4,1,2,1,1,0,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
Henry Richey,1889,Forward,2,1,1,0,0,0,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
William Davis,1890,Forward,9,0,8,1,0,0,Ferozopore,g,n,i,s
Eddie Doran,1890,Forward,2,0,1,1,0,0,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
Harry Gifford,1890,Fullback,1,0,1,0,0,0,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
Ralph Johnston,1890,Three-quarters,3,0,2,1,0,0,Kingstown,Saint Vincent and the Grenadines,Saint George,Kingstown,Missing
J. Roche,1890,Forward,7,1,5,1,0,5,?,g,n,i,s
Hugh Galbraith,1890,Forward,1,0,0,1,0,0,Londonderry,United Kingdom,Northern Ireland,County Londonderry,Londonderry
Benjamin Tuke,1890,Halfback,9,3,6,0,0,0,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
Sam Lee,1891,Centre,19,8,9,2,1,1,Down,Republic of Ireland,Leinster,County Offaly,Killeen Bridge
Charles Rooke,1891,Forward,19,7,10,2,0,0,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
Edwin Cameron,1891,Halfback,2,0,2,0,0,0,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
George Collopy,1891,Forward,2,0,2,0,0,0,Limerick,Republic of Ireland,Munster,County Limerick,Limerick
Edward Frazer,1891,Forward,2,0,2,0,0,0,Drumkeeran,Republic of Ireland,Connacht,County Leitrim,Drumkeeran
Robert Stokes,1891,Forward,2,0,2,0,0,0,Kent,United Kingdom,England,South East,Kent
Herbert Wells,1891,Three-quarters,4,2,2,0,1,3,W Bengal,India,West Bengal,Missing,Missing
Thomas Fogarty,1891,Forward,1,0,1,0,0,0,?,g,n,i,s
Robert Pedlow,1891,Halfback,1,0,1,0,0,0,?,g,n,i,s
William Gardiner,1892,Wing,17,6,9,2,2,6,Northern Ireland,United Kingdom,Northern Ireland,Missing,Missing
T.J. Johnston,1892,Forward,6,1,4,1,0,0,?,g,n,i,s
Thomas Peel,1892,Fullback,3,1,2,0,0,0,Limerick,Republic of Ireland,Munster,County Limerick,Limerick
Robert Smith,1892,Forward,1,0,1,0,0,0,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
Thomas Thornhill,1892,Halfback,4,1,3,0,0,0,Co.Tyrone,United Kingdom,Northern Ireland,County Tyrone,Missing
Arthur Wallis,1892,Forward,5,1,4,0,0,0,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
Coo Clinch,1892,Forward,14,6,7,1,0,0,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
Frederick Davies,1892,Halfback,5,1,3,1,1,2,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
