Name,Team,Debut,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
Ander Monro,Canada,2006,30,15,14,1,65,3,ON,Canada
Hubert Buydens,Canada,2006,42,16,25,1,0,0,SK,Slovensko
Craig Culpan,Canada,2006,7,2,4,1,5,1,BC,Canada
DTH van der Merwe,Canada,2006,39,14,23,2,100,20,Worcester,England
Stu Ault,Canada,2006,7,4,3,0,0,0,,
Scott Franklin,Canada,2007,12,5,5,2,0,0,SK,Slovensko
Nanyak Dala,Canada,2007,37,17,20,0,20,4,Jos,Nigeria
Nick Trenkel,Canada,2007,1,0,1,0,0,0,Randburg,SouthAfrica
Luke Cudmore,Canada,2008,1,1,0,0,0,0,BC,Canada
Tyler Hotson,Canada,2008,45,22,22,1,0,0,BC,Canada
Bryn Keys,Canada,2008,8,4,4,0,0,0,,
Andy Wilson,Canada,2008,1,1,0,0,0,0,,
Andrew Fagan,Canada,2008,1,1,0,0,0,0,,
Phil MacKenzie,Canada,2008,31,14,16,1,30,6,ON,Canada
Nathan Hirayama,Canada,2008,23,8,15,0,47,1,BC,Canada
Jebb Sinclair,Canada,2008,42,19,22,1,10,2,AB,Canada
Ciaran Hearn,Canada,2008,49,20,29,0,35,6,NL,India
Matt Evans,Canada,2008,32,13,18,1,40,8,Salisbury,England
Frank Walsh,Canada,2008,4,0,4,0,0,0,NL,India
Sean Duke,Canada,2008,11,7,4,0,20,4,,
Jason Marshall,Canada,2008,31,16,14,1,15,3,BC,Canada
Chauncey O'Toole,Canada,2009,21,12,8,1,15,3,NB,Canada
Phil Mack,Canada,2009,31,10,21,0,5,1,BC,Canada
Doug Wooldridge,Canada,2009,23,8,15,0,0,0,ON,Canada
Andrew Tiedemann,Canada,2009,38,16,22,0,5,1,AB,Canada
John Moonlight,Canada,2009,23,10,13,0,15,3,ON,Canada
Nick Blevins,Canada,2009,31,13,18,0,30,6,AB,Canada
Sean White,Canada,2009,27,15,11,1,10,2,BC,Canada
Tom Dolezel,Canada,2009,13,10,3,0,5,1,,
Brian Erichsen,Canada,2009,5,5,0,0,0,0,MB,Canada
Mark MacSween,Canada,2009,1,1,0,0,0,0,,
Mike Scholz,Canada,2009,6,5,1,0,0,0,ON,Canada
Ryan Hamilton,Canada,2010,17,11,5,1,0,0,Edmonton,Canada
Jeremy Kyne,Canada,2010,2,1,0,1,0,0,Wellington,NewZealand
Taylor Paris,Canada,2010,13,7,6,0,30,6,ON,Canada
Connor Braid,Canada,2010,19,6,13,0,26,2,BC,Canada
Mitch Gudgeon,Canada,2010,2,2,0,0,0,0,,
Jamie Mackenzie,Canada,2010,8,5,3,0,0,0,Troon,Scotland
Jon Phelan,Canada,2010,23,9,14,0,0,0,,
Conor Trainor,Canada,2011,22,6,15,1,30,6,BC,Canada
Brett Beukeboom,Canada,2012,18,7,11,0,0,0,ON,Canada
Tyler Ardron,Canada,2012,22,7,15,0,10,2,ON,Canada
Jeff Hassler,Canada,2012,17,4,13,0,20,4,AB,Canada
Ray Barkwill,Canada,2012,29,11,18,0,10,2,ON,Canada
Eric Wilson,Canada,2012,2,1,1,0,0,0,,
Harry Jones,Canada,2012,20,7,13,0,38,5,BC,Canada
Pat Parfrey,Canada,2013,10,5,5,0,0,0,,
Liam Underwood,Canada,2013,11,3,8,0,17,0,ON,Canada
Aaron Flagg,Canada,2013,1,0,1,0,0,0,,
Michael Fuailefau,Canada,2013,1,0,1,0,0,0,,
Cam Pierce,Canada,2013,1,0,1,0,0,0,,
Jake Ilnicki,Canada,2013,12,3,9,0,0,0,BC,Canada
Benoit Piffero,Canada,2013,10,2,8,0,0,0,QC,Canada
Kyle Gilmour,Canada,2013,15,4,11,0,0,0,AB,Canada
Djustice Sears-Duru,Canada,2013,15,4,11,0,0,0,,
Gordon McRorie,Canada,2014,17,3,14,0,67,0,,
Jordan Wilson-Ross,Canada,2014,3,1,2,0,0,0,,
Richard Thorpe,Canada,2014,8,0,8,0,0,0,Beckenham,England
Thyssen de Goede,Canada,2015,2,0,2,0,0,0,,
Callum Morrison,Canada,2015,5,1,4,0,0,0,,
Evan Olmstead,Canada,2015,7,1,6,0,0,0,BC,Canada
Gradyn Bowd,Canada,2016,3,2,1,0,0,0,,
Paul Ciulini,Canada,2016,3,2,1,0,5,1,,
Dan Moor,Canada,2016,3,2,1,0,10,2,,
Clay Panga,Canada,2016,3,2,1,0,10,2,,
Lucas Rumball,Canada,2016,3,2,1,0,10,2,,
Mozac Samson,Canada,2016,2,1,1,0,0,0,,
Allistair Clark,Canada,2016,3,2,1,0,5,1,,
Kyle Baille,Canada,2016,2,1,1,0,0,0,,
Liam Chisholm,Canada,2016,2,1,1,0,0,0,,
Andrew Ferguson,Canada,2016,2,1,1,0,15,0,,
Duncan Maguire,Canada,2016,2,1,1,0,5,1,,
Brock Staller,Canada,2016,1,1,0,0,4,0,,
Rob Brouwer,Canada,2016,1,1,0,0,0,0,,
Joe Dolesau,Canada,2016,1,1,0,0,0,0,,
Michael Hamson,Canada,2016,1,1,0,0,5,1,,
Eric Howard,Canada,2016,1,1,0,0,0,0,,
Brett Johnson,Canada,2016,1,1,0,0,0,0,,
Jacob Robinson,Canada,2016,1,1,0,0,0,0,,
