Name,Team,Debut,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
Roland Suniula,USA,2009,17,5,12,0,5,1,Pago Pago,USA
Kevin Swiryn,USA,2009,13,5,8,0,30,6,United States,USA
Ata Malifa,USA,2009,4,1,3,0,5,0,Pago Pago,USA
Tim Usasz,USA,2009,19,8,11,0,10,2,QLD,Australia
Brian McClenahan,USA,2009,3,1,2,0,0,0,United States,USA
Colin Hawley,USA,2009,7,3,4,0,5,1,United States,USA
Phil Thiel,USA,2009,36,12,23,1,5,1,United States,USA
Jake Sprague,USA,2009,2,2,0,0,0,0,,
Pat Danahy,USA,2009,6,3,3,0,5,1,United States,USA
Matt Hawkins,USA,2010,1,1,0,0,0,0,Durban,SouthAfrica
Scott LaValla,USA,2010,33,12,20,1,5,1,United States,USA
Tony Purpura,USA,2010,1,1,0,0,0,0,United States,USA
Volney Rouse,USA,2010,1,1,0,0,3,0,United States,USA
Seta Tuilevuka,USA,2010,1,1,0,0,0,0,,
Samu Manoa,USA,2010,15,4,10,1,10,2,United States,USA
Tai Enosa,USA,2011,6,1,5,0,7,1,Faga'alu,USA
Eric Fry,USA,2011,39,13,25,1,15,3,United States,USA
Troy Hall,USA,2011,3,0,3,0,0,0,United States,USA
Blaine Scully,USA,2011,29,9,19,1,35,7,United States,USA
James Paterson,USA,2011,12,2,10,0,15,2,Christchurch,NewZealand
Ryan Chapman,USA,2011,1,0,1,0,0,0,,
Drew Durutalo,USA,2012,12,4,8,0,20,4,United States,USA
Will Holder,USA,2012,3,1,2,0,10,0,Frankfurt,Germany
Luke Hume,USA,2012,19,9,9,1,15,3,NSW,Australia
Taylor Mokate,USA,2012,3,1,2,0,5,1,United States,USA
Derek Asbun,USA,2012,7,4,3,0,0,0,United States,USA
Dre Liufau,USA,2012,2,1,1,0,0,0,,
Cornelius Dirksen,USA,2012,2,1,1,0,0,0,,
Toby L'Estrange,USA,2012,13,3,9,1,5,1,United States,USA
John Quill,USA,2012,17,6,11,0,5,1,Cork,Ireland
Zach Fenoglio,USA,2012,17,4,13,0,0,0,United States,USA
Zach Pangelinan,USA,2012,2,1,1,0,8,0,Hagatna,Guam
Graham Harriman,USA,2012,4,3,1,0,0,0,,
Adam Siddall,USA,2013,8,3,5,0,52,0,,
Seamus Kelly,USA,2013,23,7,16,0,5,1,United States,USA
Liam Murphy,USA,2013,2,0,2,0,0,0,,
Nick Wallace,USA,2013,15,5,9,1,5,1,United States,USA
Cam Dolan,USA,2013,20,6,13,1,15,3,United States,USA
Titi Lamositele,USA,2013,16,6,9,1,10,2,United States,USA
Folau Niua,USA,2013,17,6,10,1,28,1,United States,USA
Tim Maupin,USA,2013,7,3,3,1,0,0,United States,USA
Olive Kilifi,USA,2013,18,8,9,1,0,0,United States,USA
