Name,Country,City,Team,OtherName
John Novak,England,Stratford-upon-Avon,England,Michael John Novak
Tony Jorden,England,"Radlett, Hertfordshire",England,Anthony Mervyn Jorden
Alan Brinn,Wales,"Ystrad, Rhondda",England,
Peter Preece,England,"Meriden, West Midlands",England,Peter Stuart Preece
Peter Warfield,England,"Waddington, Lincolnshire",England,Peter John Warfield
Mariano Crescenzo,Italy,"Paganica, L'Aquila",Italy,
Henry Honiball,SouthAfrica,EstCourt,SouthAfrica,Henry William Honiball
Chris Rossouw,SouthAfrica,Pretoria,SouthAfrica,Christiaan le Cordier Rossouw
Daniel Baetti,Argentina,,Argentina,
Juan Pablo Piccardo,Argentina,,Argentina,
Jose Palma,Argentina,,Argentina,
Pablo Devoto,Argentina,,Argentina,
Javier Miguens,Argentina,,Argentina,
Nahuel Lobo,Argentina,Chajari,Argentina,
Cesar Fruttero,Argentina,Villa Maria,Argentina,
Walter Weiss,Argentina,,Argentina,
Matias Viazzo,Argentina,,Argentina,
