Place,Name,Years,Tests,Matches,Number
"Dunedin, New Zealand","Oliver, Donald Joseph",1930,2,1,377
"Nelson, New Zealand","Bush, Ronald George",1931,1,0,381
"Dunedin, New Zealand","Innes, Gordon Donald",1932,1,6,392
"Dunedin, New Zealand","Procter, Albert Charles",1932,1,3,394
"Taradale, New Zealand","Williams, Raymond Norman",1932,0,1,395
"Warea, New Zealand","Clarke, Ray Lancelot",1932,2,7,390
"Dunedin, New Zealand","Smith, Charles Herbert",1934,0,2,406
"Morrinsville, New Zealand","Leeson, John",1934,0,5,405
"Nuhaka, New Zealand","Mataira, Hawea Karepa",1934,1,4,402
"Makuri, New Zealand","Collins, William Reuben",1935,0,7,416
"Dunedin, New Zealand","Watt, James Michael",1936,2,0,424
"Oamaru, New Zealand","Gillies, Colin Cuthbert",1936,1,1,426
"Onetea, New Zealand","Wells, John",1936,2,1,425
"Waihi, New Zealand","Lockington, Terence McClatchey",1936,0,1,427
"Wellington, New Zealand","Killeen, Brian Alexander",1936,1,1,422
"Christchurch, New Zealand","Cobden, Donald Gordon",1937,1,0,430
"Kingston, New Zealand","Simon, Harold James",1937,3,0,434
"Mosgiel, New Zealand","Trevathan, David",1937,3,0,436
"Auckland, New Zealand","Bowman, Albert William",1938,3,3,445
"Centre Bush, New Zealand","Williams, Claude Wright",1938,0,4,444
"Christchurch, New Zealand","Milliken, Harold Maurice",1938,3,4,440
"Christchurch, New Zealand","Quaid, Charles Edward",1938,2,2,442
"Gisborne, New Zealand","Carson, William Nicol",1938,0,3,446
"Houhora, New Zealand","Berghan, Trevor",1938,3,3,438
"Invercargill, New Zealand","George, Victor Leslie",1938,3,4,439
"Invercargill, New Zealand","Wesney, Arthur William",1938,0,3,447
"Kurow, New Zealand","Saxton, Charles Kesteven",1938,3,4,443
"Upper Hutt, New Zealand","Wright, Alan Hercules",1938,0,4,448
"Wellington, New Zealand","Morrison, Thomas Clarence",1938,3,2,441
"Auckland, New Zealand","Dunn, John Markham",1946,1,0,452
