Walter Davis,NZ,,,,
Jum Sampson,NZ,Waihi,,,
William Murphy,IRE,,,,
"Roy Chambers""",AUS,Dulwich,,,
Roland Raymond,FIJ,,,,
John Hill,,,,,
Patrick Mulligan,SA,,,,
Haggis Lang,INDIA,Multan,,,
Peter Kay,AUS,Adelaide,,,
Toutai Kefu,TON,,,,
Owen Farrell,ENG,Wigan,,,
Charlie Sharples,HK,Hong Kong,,,
Matt Banahan,ENG,Channel Islands,,,
Jamie Salmon,ENG,,,,
David Cooke,AUS,Brisbane,,,
,,,,,
Peter Johnstone,,,,,"O'Leary, Michael Joseph"
Bill Meates,,,,,"Stohr, Leonard"
Vince Bevan,,,,,"Ryan, James"
Kiwi Blake,,,,,"Barrett, James"
Ron Bryers,,,,,"Murray, Harold Vivian"
Ronald Dobson,,,,,"Taylor, Henry Morgan"
Arthur Hughes,,,,,"Cockroft, Eric Arthur Percy"
Jack Kelly,,,,,"Graham, James Buchan"
Bert Lunn,,,,,"McNeece, James"
Graham Moore,,,,,"McKenzie, Richard John"
Bill Mumm,,,,,"Roberts, Richard William"
Rex Orr,,,,,"Lynch, Thomas William"
Bob Stuart,,,,,"Downing, Albert Joseph"
Tiny White,,,,,"Francis, William Charles"
Hector Wilson,,,,,"Cain, Michael Joseph"
Neville Black,,,,,"Bruce, John Alexander"
Pat Crowley,"Crowley, Patrick Joseph Bourke",,,,"Hasell, Edward William"
Desmond Christian,,,,,"Brown, Charles"
Red Delamore,,,,,"Tilyard, James Thomas"
Jack Bond,,,,,"Cummings, William"
Ray O'Callaghan,,,,,"Roberts, Edward James"
Des O'Donnell,,,,,"O'Brien, John Gerald"
Roy Roper,,,,,"Duncan, William Dow"
Harry Rowley,,,,,"Storey, Percival Wright"
George Beatty,,,,,"Moffitt, James Edward"
Brownie Cherrington,,,,,"Belliss, Ernest Arthur"
Laurie Haig,,,,,"Badeley, Cecil Edward Oliver"
Graham Mexted,,,,,"Steel, John"
John Tanner,,,,,"Donald, James George"
Snow Cockerill,,,,,"West, Alfred Hubert"
Bob Duff,,,,,"McLean, Andrew Leslie"
Percy Erceg,,,,,"Nicholls, Harry Edgar"
Ronald Jarden,,,,,"Richardson, Johnstone"
Thomas Lynch,,,,,"White, Andrew"
William McCaw,,,,,"Nicholls, Marcus Frederick"
Charles Robinson,,,,,"Cupples, Leslie Frank"
Leo Steele,,,,,"Svenson, Kenneth Sydney"
Norman Wilson,,,,,"Brownlie, Maurice John"
Raymond Bell,,,,,"Donald, Quentin"
Peter Eastgate,,,,,"Masters, Robin Read"
Allan Elsom,,,,,"Irvine, William Richard"
Jim Fitzgerald,,,,,"Lucas, Frederick William"
John Hotop,,,,,"Porter, Clifford Glen"
Ian Irvine,,,,,"Mill, James Joseph"
Hugh McLaren,,,,,"Stewart, Ronald Terowie"
Kevin Meates,,,,,"Hart, Augustine Henry"
Ponty Reid,,,,,"Parker, James Hislop"
Noel Bowden,,,,,"Robilliard, Alan Charles Compton"
Mick Bremner,,,,,"McGregor, Neil Perriam"
Keith Davis,,,,,"Harvey, Ian Hamilton"
Ian Hammond,,,,,"Brownlie, Cyril James"
Jack Skeen,,,,,"Dalley, William Charles"
Bill Clark,,,,,"Cooke, Albert Edward"
Ian Clarke,,,,,"Nepia, George"
Nelson Dalzell,,,,,"Johnson, Launcelot Matthew"
Brian Fitzpatrick,,,,,"Finlayson, Innes"
Ron Hemi,,,,,"Alley, Geoffrey Thomas"
Richard Bowers,,,,,"Hazlett, William Edgar"
Morrie Dixon,,,,,"Knight, Arthur"
Colin Loader,,,,,"Carleton, Sydney Russell"
Desmond Oliver,,,,,"Grenside, Bertram Arthur"
Snow White,,,,,"Snow, Eric McDonald"
Tiger Hilton-Jones,,,,,"Hook, Llewellyn Simpkin"
Douglas Wilson,,,,,"McWilliams, Ruben George"
Robin Archer,,,,,"Strang, William Archibald"
Peter Burke,,,,,"Batty, Walter"
Mark Irwin,,,,,"Palmer, Bertram Pitt"
Ross Smith,,,,,"Steere, Edward Richard George"
Kevin Stuart,,,,,"Lilburne, Herbert Theodore"
Lindsay Townsend,,,,,"Kilby, Francis David"
Ivan Vodanovich,,,,,"Hore, John"
Pat Walsh,,,,,"Oliver, Charles Joshua"
Bill Gray,,,,,"Cottrell, Anthony Ian"
Tom Katene,"Katene, Thomas",,,,"Mahoney, Atholstan"
Ross Brown,,,,,"Corner, Mervyn Miles Nelson"
John Buxton,,,,,"Hart, George Fletcher"
Tiny Hill,,,,,"McLean, Hubert Foster"
Donald McIntosh,,,,,"Metcalfe, Thomas Charles"
Patrick Vincent,,,,,"Purdue, George Bambery"
Francis McAtamney,,,,,"Solomon, Frank"
Ian MacEwan,,,,,"Jessep, Evan Morgan"
Denis Young,,,,,"Max, Donald Stanfield"
Don Clarke,,,,,"Page, James Russell"
Terry Lineen,,,,,"Ball, Nelson"
Frank McMullen,,,,,"Holder, Edward Catchpole"
Colin Meads,,,,,"Collins, Arthur Harold"
Wilson Whineray,,,,,"Barry, Edward Fitzgerald"
Mick Cossey,,,,,"Bullock-Douglas, George Arthur Hardy"
Thomas Coughlan,,,,,"Pollock, Harold Raymond"
David Graham,,,,,"Manchester, John Eaton"
David Ashby,,,,,"Caughey, Thomas Harcourt Clarke"
Ernest Pickering,,,,,"Hadley, William Edward"
James Watt,,,,,"Lambourn, Arthur"
Adrian Clarke,,,,,"MacKenzie, Roderick McCulloch"
William Gillespie,,,,,"King, Ronald Russell"
Brian Finlay,,,,,"Griffiths, Jack Lester"
Bruce McPhail,,,,,"Gilbert, Graham Duncan McMillan"
Spider Urbahn,,,,,"Sadler, Bernard Sydney"
Kevin Briscoe,,,,,"Reid, Sana Torium"
Ralph Caulton,,,,,"Mitchell, Neville Alfred"
Dick Conway,,,,,"Dalton, Douglas"
Tuppy Diack,,,,,"Tindill, Eric William Thomas"
John McCullough,,,,,"Rankin, John George"
Kel Tremain,,,,,"Ward, Ronald Henry"
Desmond Webb,,,,,"Jackson, Everard Stanley"
Terence O'Sullivan,,,,,"Sullivan, John Lorraine"
Ronald Horsley,,,,,"Dick, John"
Kevin Laidlaw,,,,,"Hooper, John Alan"
Steven Nesbit,,,,,"Taylor, John McLeod"
Tony Davies,,,,,"Parkhill, Allan Archibald"
Desmond Connor,,,,,"Phillips, William John"
Donald McKay,,,,,"Argus, Walter Garland"
Stan Meads,,,,,"White, Roy Maxwell"
Neil Wolfe,,,,,"McHugh, Maurice James"
Boy Yates,,,,,"Willocks, Charles"
Paul Little,,,,,"Budd, Thomas Alfred"
Rod Heeps,,,,,"Catley, Evelyn Haswell"
Waka Nathan,,,,,"Smith, John Burns"
Bruce Watt,,,,,"Allen, Frederick Richard"
Raymond Moreton,,,,,"Goddard, Maurice Patrick"
Peter Morrissey,,,,,"Frazer, Harry Frederick"
John Creighton,,,,,"Boggs, Eric George"
Jules le Lievre,,,,,"Elvidge, Ronald Rutherford"
Keith Nelson,,,,,"Scott, Robert Wiliam Henry"
Mac Herewini,,,,,"Couch, Manuera Ben Riwai"
Barry Thomas,,,,,"Kearney, James Charles"
Allan Stewart,,,,,"Thornton, Neville Henry"
Ian Uttley,,,,,"Dalton, Raymond Alfred"
Bluey Arnold,,,,,"McLean, John Kenneth"
Malcolm Dick,,,,,"Hughes, Arthur Maitland"
Ken Gray,,,,,"Simpson, John George"
Brian Lochore,,,,,"Grant, Lachlan Ashwell"
Chris Laidlaw,,,,,"Bevan, Vincent David"
Don Clark,,,,,"Harvey, Lester Robert"
John Collins,,,,,"Henderson, Peter"
Bruce McLeod,,,,,"Meates, William Anthony"
Spooky Smith,,,,,"McNab, John Ronald"
Michael Williment,,,,,"Roper, Roy Alfred"
Peter Murdoch,,,,,
Ron Rangi,,,,,"Wilson, Hector William"
Bill Birtwistle,,,,,"Wilson, Norman Leslie"
