['Jone Sokovata', '1963', 'Flanker', '4', '3', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Ulaiasi Tukana', '1963', 'Hooker', '7', '4', '3', '0', '0', '0', 'Savu', 'Savu Sea', 'Missing', 'Missing', 'Missing']
['Epi Kunavore', '1963', 'Centre', '2', '2', '0', '0', '2', '6', 'date unknown', 'g', 'n', 'i', 's']
['Apisai Toga', '1963', 'Lock', '3', '3', '0', '0', '3', '9', 'date unknown', 'g', 'n', 'i', 's']
['Sevaro Walisoliso', '1963', 'Prop', '7', '4', '2', '1', '3', '9', 'date unknown', 'g', 'n', 'i', 's']
['Josateki Nasova', '1963', 'Utility back', '10', '6', '3', '1', '0', '10', 'date unknown', 'g', 'n', 'i', 's']
['Aca Soqosoqo', '1964', 'Lock', '4', '1', '3', '0', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Apakuki Suluaqalo', '1964', '', '1', '0', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['George Barley', '1964', 'Fly-half', '4', '1', '2', '1', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Aporosa Robe', '1964', 'Wing', '3', '1', '2', '0', '2', '6', 'date unknown', 'g', 'n', 'i', 's']
['Sela Toga', '1964', 'No. 8', '12', '8', '3', '1', '7', '21', 'date unknown', 'g', 'n', 'i', 's']
['Adriu Nadredre', '1964', 'Flanker', '3', '1', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Suliasi Tolotu', '1964', 'Flanker', '1', '0', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Samuela Vanini', '1964', 'Centre', '1', '0', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Setareki Vola', '1964', 'Centre', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Amenatave Gutugutuwai', '1967', 'Wing', '4', '2', '2', '0', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Moritikei Nabuta', '1967', 'Prop', '9', '7', '2', '0', '2', '6', 'date unknown', 'g', 'n', 'i', 's']
['Kiniviliame Nalatu', '1967', 'Wing', '6', '1', '3', '2', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Samu Naqelevuki', '1967', 'Fullback', '12', '6', '4', '2', '4', '12', 'circa 1944', 'Per\xc3\xba', 'Tacna', 'Candarave', 'Circa']
['Sakiasi Ose', '1967', 'Flanker', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Nasivi Ravouvou', '1967', 'Lock', '18', '8', '8', '2', '5', '15', 'circa 1945', 'Per\xc3\xba', 'Tacna', 'Candarave', 'Circa']
['Setareki Tamanivalu', '1967', 'Flanker', '3', '2', '0', '1', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Sakopo Vodivodi', '1967', 'Scrum-half', '3', '2', '0', '1', '0', '3', 'date unknown', 'g', 'n', 'i', 's']
['Vilaime Waka', '1967', 'Utility back', '3', '2', '0', '1', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Apenisa Tukairavua', '1967', 'Lock', '11', '7', '3', '1', '1', '4', 'Naitasiri', 'Viti', 'Central', 'Suva', 'Walu Bay']
['Maika Vakatawabai', '1967', 'Hooker', '1', '0', '0', '1', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Asaeli Batibasaga', '1967', 'Wing', '7', '6', '1', '0', '8', '63', 'date unknown', 'g', 'n', 'i', 's']
['Waisea Tubu', '1967', 'Centre', '1', '1', '0', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Albert Eastgate', '1968', 'Centre', '1', '0', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Suliasi Nacolai', '1968', 'Wing', '6', '3', '3', '0', '6', '18', 'date unknown', 'g', 'n', 'i', 's']
['Ropate Qalo', '1968', 'Centre', '2', '0', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Lario Raitilava', '1968', 'Fullback', '11', '6', '5', '0', '2', '26', 'date unknown', 'g', 'n', 'i', 's']
['Timoci Tukaitabua', '1968', 'Flanker', '5', '3', '2', '0', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Apisalome Turagacoko', '1968', 'Prop', '3', '0', '3', '0', '1', '3', 'date unknown', 'g', 'n', 'i', 's']
['Ilai Senivau', '1968', 'Prop', '1', '0', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Meli Kurisaru', '1968', 'Flanker', '14', '9', '4', '1', '4', '13', 'date unknown', 'g', 'n', 'i', 's']
['Semesa Sacere', '1968', 'Scrum-half', '1', '0', '1', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Watile Tuinagiagia', '1968', 'Fullback', '2', '0', '2', '0', '0', '0', 'date unknown', 'g', 'n', 'i', 's']
['Isoa Volavola', '1968', 'Hooker', '7', '5', '2', '0', '4', '12', 'date unknown', 'g', 'n', 'i', 's']
